,0,1,2,3,4,5,6,7,8
tenure,0.28276206504430174,0.6027151355219839,0.5029443422566954,0.25197717761760446,-0.08075836912108975,-0.12848871188926766,-0.06794165512070767,-0.18124625185695586,-0.08812003251826848
age,0.21246386874601741,0.6272025069404508,0.42862899980693936,-0.23805246750923867,0.09279080548211092,0.23112953767021427,0.1914064406046421,0.18083566780702728,0.05929354370833593
marital,0.07817369266488722,0.020593289838039805,0.0030597050931530844,0.827969692015197,0.16545322903549242,0.25965089955828624,0.1713292901551815,0.11877935285483403,0.08436773307736482
address,0.17813842493362872,0.5737584961636039,0.42772392223498007,-0.13216070381778391,-0.038093175444175606,0.13781265159523606,0.13099937401743775,0.012886803079731625,0.024281884565206333
income,0.30832490071474766,0.30348497933904073,0.2696234257952725,-0.15200671155428588,0.7447800830100068,-0.17770384491788585,-0.01892951868397266,0.062201384280618055,0.0724312011679542
ed,0.25693342196156094,-0.523241581931212,0.2733499193557685,-0.028065152649784875,0.15843329326084202,-0.059108823146757625,-0.02365813106709472,-0.23637769107603612,0.028051997493078625
employ,0.25004433574234286,0.6546725962846527,0.33728448773258574,-0.136638793801579,0.3773817954734987,0.09914970050765207,0.064373113701317,0.12874566306468202,0.062078602112651815
retire,0.05861638756826913,0.34667757275508737,0.1764791868674972,-0.22368301166219345,-0.42931362197628037,0.6220170133104174,0.135679538019339,0.0759569145193544,-0.008516732755832344
gender,-0.004150269777533868,0.011458686284437272,0.047866398347127824,0.012612551088536568,0.13597109746900662,0.4242910147647909,-0.8851888586091419,0.007520935364240745,0.05887241511016464
reside,0.03175459544202767,-0.147600726034242,-0.16809455354431319,0.8225261707620284,0.16088200743289227,0.2238413941557146,0.1062442025513269,0.08004125697325241,0.04221364629598632
tollfree,0.7084918732636754,0.15490886180971628,-0.41097269294483374,-0.06926500570650568,0.012701274847064663,0.07113085309865914,0.043425764302231294,-0.22675402259533975,0.15053331183485125
equip,0.3042227357169136,-0.6858751007538489,0.40281931257259007,-0.04688093918090182,-0.05887589450255256,0.04594812203189563,0.05190265065799559,-0.01899108624621323,0.34461324494697304
callcard,0.5418548657284337,0.40010590282158837,0.059899168407486915,0.15804158592485254,-0.27787618224657,-0.34212195537603546,-0.2001473873482483,0.2580824135232935,0.18905753369727615
wireless,0.7687543817747726,-0.34663130596271163,0.03092308001210823,-0.039855356560500925,-0.011450492286354483,0.03760992830553495,-0.008447704721100076,0.2058878572591869,-0.3314242298944909
multline,0.3160466516894896,-0.07520671284685101,0.5622690462388005,0.22632503113259256,-0.08732695650179276,-0.053615828723777806,-0.060246019990356746,-0.47185644141408145,-0.2201427327162011
voice,0.6644541164433126,-0.31916155599591073,0.018847047829505772,-0.017341976286013874,0.023012309603345073,0.0018285119821056515,-0.05274267658170329,0.15506042207146506,-0.2192954482071163
pager,0.6887376396170206,-0.33690268729883255,0.002662828946439212,-0.01932517073050031,0.055545441339237556,0.017392896531265568,0.05322460787519669,0.13707056935475323,-0.2428958119115882
internet,0.29535883794645634,-0.6192878447268211,0.3420060249354191,-0.017775631567277274,-0.013768719847175785,0.03867139609773178,0.007721984971955798,0.00881178871410426,0.1950112590022717
callid,0.6923120540872163,0.12136031749251544,-0.39402165632742014,-0.0541748401830244,0.04449816308528797,0.0442862677576845,-0.0012365932814446619,-0.053089166881078745,0.11785005787942011
callwait,0.6873441954359101,0.15149186359001532,-0.3972604612049311,-0.041187356722137365,-0.002071124132012603,0.03571606632008119,0.03894760716361945,-0.14817267307826312,0.07875865771614746
forward,0.6888116038374982,0.1280194473060946,-0.36734747205733664,-0.02711448803537294,-0.023477214355113765,0.011610471401535143,0.04623443098039512,-0.07080949567170275,0.12862343669731505
confer,0.6796758873958689,0.1650134355573399,-0.32683242981557176,-0.07929863451039758,0.002711199031756834,0.03416436833778501,-0.008224783592032787,-0.09554273885659935,0.05512796980978066
longmon,0.26458651693808954,0.5635696575086313,0.4639671183817512,0.23305609555135373,-0.14745645122644369,-0.05504839930048668,-0.030021963759560625,-0.2373165536992658,-0.07709097621244254
tollmon,0.7464822409931633,0.26560655513963133,-0.3076799492038372,-0.008279528270531555,0.020296994028195497,0.08773071557926315,0.03083910450817977,-0.22361437068783918,0.038376253299816476
equipmon,0.46789912584823273,-0.6504366102487584,0.3938817965597188,-0.02920051519553769,-0.07129886863018062,0.03413158915175316,0.03272420351627081,0.009404004262440228,0.2493571009430949
cardmon,0.5001431913486439,0.39774361827651367,0.12601972024254288,0.2168639974230171,-0.30523002346197176,-0.33441253608953103,-0.15937794156250432,0.30823905556577175,0.16286170133855185
wiremon,0.8108671733757262,-0.3017942569828178,0.0875566572690187,-0.011083076100640125,-0.00031863808536884854,0.0426318371407318,-0.01428997137591577,0.1703383011609148,-0.34344725484451005
ebill,0.21766046929125,-0.6077873656441037,0.3524169438197031,-0.10373401773328031,-0.025821388271824446,0.04383877948886627,0.06849043996200176,0.029356479908374266,0.1465265838061796
