Month,Quotes,TV.advert,Lag1,Lag2
Jan-15,12.97065,7.212725,,
Feb-15,15.38714,9.44357,7.212725,
Mar-15,13.22957,7.53425,9.44357,7.212725
Apr-15,12.97065,7.212725,7.53425,9.44357
May-15,15.38714,9.44357,7.212725,7.53425
Jun-15,11.72288,6.415215,9.44357,7.212725
Jul-15,10.06177,5.80699,6.415215,9.44357
Aug-15,10.82279,6.2036,5.80699,6.415215
Sep-15,13.28707,7.58643,6.2036,5.80699
Oct-15,14.57832,8.004935,7.58643,6.2036
Nov-15,15.60542,8.83498,8.004935,7.58643
Dec-15,15.93515,8.957255,8.83498,8.004935
Jan-16,16.99486,9.53299,8.957255,8.83498
Feb-16,16.87821,9.39295,9.53299,8.957255
Mar-16,16.45128,8.91856,9.39295,9.53299
Apr-16,15.28118,8.37412,8.91856,9.39295
May-16,15.88901,9.844505,8.37412,8.91856
Jun-16,15.67747,9.84939,9.844505,8.37412
Jul-16,13.2878,8.40273,9.84939,9.844505
Aug-16,12.64484,7.920675,8.40273,9.84939
Sep-16,11.82771,7.436085,7.920675,8.40273
Oct-16,9.69184,6.34049,7.436085,7.920675
Nov-16,10.30415,6.939995,6.34049,7.436085
Dec-16,11.38253,6.9771,6.939995,6.34049
Jan-17,12.95149,8.010201,6.9771,6.939995
Feb-17,13.63092,9.56546,8.010201,6.9771
Mar-17,9.12098,6.27251,9.56546,8.010201
Apr-17,8.39468,5.707495,6.27251,9.56546
May-17,12.30076,7.96354,5.707495,6.27251
Jun-17,13.84831,8.494221,7.96354,5.707495
Jul-17,15.96246,9.789085,8.494221,7.96354
Aug-17,14.19738,8.692825,9.789085,8.494221
Sep-17,12.85922,8.05723,8.692825,9.789085
Oct-17,12.08837,7.588995,8.05723,8.692825
Nov-17,12.93375,8.244881,7.588995,8.05723
Dec-17,11.72235,6.67554,8.244881,7.588995
Jan-18,15.47126,9.219604,6.67554,8.244881
Feb-18,18.43898,10.9638,9.219604,6.67554
Mar-18,17.49186,10.45629,10.9638,9.219604
Apr-18,14.49168,8.7286,10.45629,10.9638
